,Code,Industry
2015-10-01,SZE_000006,采掘
2013-07-01,SZE_000409,采掘
2008-06-02,SZE_000552,采掘
2011-10-10,SZE_000571,采掘
2015-10-31,SZE_000629,采掘
2015-10-31,SZE_000655,采掘
2008-06-02,SZE_000723,采掘
2008-06-02,SZE_000762,采掘
2016-09-27,SZE_000780,采掘
2016-09-27,SZE_000937,采掘
2016-09-27,SZE_000968,采掘
2016-09-27,SZE_000983,采掘
2015-11-02,SZE_002128,采掘
2016-06-01,SZE_002207,采掘
2016-01-28,SZE_002554,采掘
2017-01-03,SZE_002629,采掘
2014-12-19,SZE_002738,采掘
2016-12-05,SZE_002828,采掘
2016-04-14,SZE_300157,采掘
2016-11-30,SZE_300164,采掘
2016-04-14,SZE_300191,采掘
2008-06-02,SZE_600121,采掘
2015-10-26,SZE_600123,采掘
2016-09-20,SZE_600157,采掘
2008-06-02,SZE_600179,采掘
2016-09-27,SZE_600188,采掘
2015-10-01,SZE_600193,采掘
2016-08-15,SZE_600295,采掘
2016-09-27,SZE_600348,采掘
2016-09-27,SZE_600395,采掘
2015-10-26,SZE_600397,采掘
2015-10-26,SZE_600403,采掘
2008-06-02,SZE_600408,采掘
2015-10-26,SZE_600508,采掘
2011-10-10,SZE_600532,采掘
2016-09-27,SZE_600546,采掘
2016-06-01,SZE_600583,采掘
2011-10-10,SZE_600714,采掘
2008-06-02,SZE_600740,采掘
2016-06-01,SZE_600759,采掘
2015-10-26,SZE_600792,采掘
2017-02-23,SZE_600871,采掘
2011-10-10,SZE_600882,采掘
2008-06-02,SZE_600971,采掘
2016-09-27,SZE_600997,采掘
2008-06-02,SZE_601001,采掘
2011-02-23,SZE_601011,采掘
2014-10-24,SZE_601015,采掘
2015-11-02,SZE_601088,采掘
2010-03-15,SZE_601101,采掘
2016-09-27,SZE_601225,采掘
2015-11-02,SZE_601666,采掘
2016-09-27,SZE_601699,采掘
2016-09-27,SZE_601808,采掘
2016-06-01,SZE_601857,采掘
2016-09-27,SZE_601898,采掘
2015-11-02,SZE_601918,采掘
2014-11-25,SZE_601969,采掘
2016-11-07,SZE_603727,采掘
2015-06-18,SZE_603979,采掘
2016-02-19,SZE_000038,传媒
2015-08-04,SZE_000156,传媒
2014-01-01,SZE_000504,传媒
2015-07-01,SZE_000607,传媒
2014-01-01,SZE_000665,传媒
2015-11-02,SZE_000673,传媒
2015-11-02,SZE_000681,传媒
2014-01-01,SZE_000719,传媒
2014-01-01,SZE_000793,传媒
2017-02-27,SZE_000802,传媒
2015-07-01,SZE_000835,传媒
2015-11-02,SZE_000892,传媒
2014-01-01,SZE_000917,传媒
2015-11-02,SZE_002027,传媒
2015-11-02,SZE_002071,传媒
2014-01-01,SZE_002095,传媒
2015-11-02,SZE_002131,传媒
2015-11-02,SZE_002143,传媒
2015-11-02,SZE_002148,传媒
2016-02-03,SZE_002174,传媒
2014-01-01,SZE_002175,传媒
2014-01-01,SZE_002181,传媒
2015-11-02,SZE_002238,传媒
2015-08-04,SZE_002261,传媒
2015-11-02,SZE_002292,传媒
2014-01-01,SZE_002315,传媒
2015-10-31,SZE_002343,传媒
2016-02-03,SZE_002354,传媒
2015-08-04,SZE_002400,传媒
2016-02-19,SZE_002445,传媒
2011-10-10,SZE_002502,传媒
2016-11-01,SZE_002517,传媒
2016-02-03,SZE_002555,传媒
2014-01-01,SZE_002619,传媒
2015-11-02,SZE_002624,传媒
2014-01-08,SZE_002712,传媒
2017-02-10,SZE_002739,传媒
2015-11-02,SZE_300027,传媒
2015-11-03,SZE_300043,传媒
2014-01-01,SZE_300052,传媒
2015-11-02,SZE_300058,传媒
2015-12-31,SZE_300059,传媒
2015-10-31,SZE_300063,传媒
2015-11-02,SZE_300071,传媒
2015-11-02,SZE_300104,传媒
2015-11-02,SZE_300113,传媒
2015-11-02,SZE_300133,传媒
2015-08-04,SZE_300148,传媒
2014-01-01,SZE_300226,传媒
2015-11-02,SZE_300242,传媒
2017-02-10,SZE_300251,传媒
2015-11-02,SZE_300288,传媒
2015-11-02,SZE_300291,传媒
2015-11-02,SZE_300295,传媒
2015-11-02,SZE_300315,传媒
2015-11-02,SZE_300336,传媒
2015-08-24,SZE_300343,传媒
2015-11-02,SZE_300359,传媒
2015-11-02,SZE_300364,传媒
2016-05-22,SZE_300383,传媒
2015-11-02,SZE_300392,传媒
2016-02-03,SZE_300418,传媒
2015-11-02,SZE_300426,传媒
2015-11-02,SZE_300431,传媒
2016-01-07,SZE_300494,传媒
2016-06-24,SZE_300518,传媒
2016-08-04,SZE_300528,传媒
2016-08-04,SZE_300533,传媒
2017-02-08,SZE_300612,传媒
2015-11-02,SZE_600037,传媒
2014-01-01,SZE_600088,传媒
2016-08-15,SZE_600136,传媒
2016-02-19,SZE_600158,传媒
2015-11-02,SZE_600229,传媒
2016-09-20,SZE_600373,传媒
2016-04-01,SZE_600386,传媒
2014-01-01,SZE_600551,传媒
2015-10-01,SZE_600576,传媒
2014-01-01,SZE_600633,传媒
2015-11-02,SZE_600637,传媒
2015-07-01,SZE_600652,传媒
2015-11-02,SZE_600661,传媒
2015-11-02,SZE_600715,传媒
2014-01-01,SZE_600757,传媒
2015-11-03,SZE_600804,传媒
2014-01-01,SZE_600825,传媒
2014-01-01,SZE_600831,传媒
2015-11-02,SZE_600880,传媒
2008-06-02,SZE_600892,传媒
2016-08-04,SZE_600936,传媒
2015-11-02,SZE_600959,传媒
2016-08-04,SZE_600977,传媒
2016-12-11,SZE_600996,传媒
2016-02-03,SZE_601098,传媒
2016-08-04,SZE_601595,传媒
2016-02-03,SZE_601801,传媒
2016-08-04,SZE_601811,传媒
2017-01-05,SZE_601858,传媒
2016-02-03,SZE_601900,传媒
2016-02-19,SZE_601928,传媒
2014-01-01,SZE_601929,传媒
2014-01-01,SZE_601999,传媒
2016-08-11,SZE_603000,传媒
2016-10-17,SZE_603258,传媒
2016-12-25,SZE_603444,传媒
2015-05-25,SZE_603598,传媒
2015-03-09,SZE_603729,传媒
2016-10-17,SZE_603888,传媒
2015-12-23,SZE_603999,传媒
2016-06-15,SZE_000400,电气设备
2016-09-13,SZE_000585,电气设备
2016-01-13,SZE_000591,电气设备
2014-01-01,SZE_000682,电气设备
2014-01-01,SZE_000806,电气设备
2014-01-01,SZE_000922,电气设备
2014-01-01,SZE_000967,电气设备
2014-01-01,SZE_002028,电气设备
2014-01-01,SZE_002058,电气设备
2016-09-13,SZE_002074,电气设备
2016-09-13,SZE_002090,电气设备
2016-08-25,SZE_002112,电气设备
2015-10-16,SZE_002121,电气设备
2015-11-03,SZE_002123,电气设备
2014-01-01,SZE_002168,电气设备
2016-09-13,SZE_002169,电气设备
2014-01-01,SZE_002176,电气设备
2014-01-01,SZE_002184,电气设备
2016-06-13,SZE_002196,电气设备
2016-06-15,SZE_002202,电气设备
2016-11-02,SZE_002212,电气设备
2015-10-26,SZE_002218,电气设备
2014-01-01,SZE_002227,电气设备
2016-09-13,SZE_002249,电气设备
2014-01-01,SZE_002255,电气设备
2015-10-31,SZE_002266,电气设备
2014-01-01,SZE_002276,电气设备
2016-04-21,SZE_002298,电气设备
2014-01-01,SZE_002300,电气设备
2015-10-31,SZE_002309,电气设备
2014-01-01,SZE_002322,电气设备
2016-08-25,SZE_002334,电气设备
2016-11-06,SZE_002335,电气设备
2016-09-13,SZE_002339,电气设备
2016-09-13,SZE_002350,电气设备
2014-01-01,SZE_002356,电气设备
2015-10-16,SZE_002358,电气设备
2014-01-01,SZE_002359,电气设备
2016-10-09,SZE_002364,电气设备
2014-01-01,SZE_002441,电气设备
2014-01-01,SZE_002451,电气设备
2014-01-01,SZE_002452,电气设备
2014-01-01,SZE_002471,电气设备
2014-01-01,SZE_002498,电气设备
2016-09-13,SZE_002506,电气设备
2016-09-13,SZE_002518,电气设备
2016-06-15,SZE_002527,电气设备
2015-10-31,SZE_002531,电气设备
2016-07-08,SZE_002533,电气设备
2016-01-18,SZE_002534,电气设备
2015-09-15,SZE_002546,电气设备
2014-01-01,SZE_002560,电气设备
2014-01-01,SZE_002576,电气设备
2016-06-10,SZE_002580,电气设备
2014-01-01,SZE_002606,电气设备
2015-10-26,SZE_002610,电气设备
2016-09-20,SZE_002617,电气设备
2014-01-01,SZE_002622,电气设备
2014-01-01,SZE_002630,电气设备
2016-09-13,SZE_002665,电气设备
2014-01-01,SZE_002692,电气设备
2014-01-08,SZE_002706,电气设备
2016-09-13,SZE_002733,电气设备
2015-06-15,SZE_002767,电气设备
2016-06-24,SZE_002801,电气设备
2016-12-01,SZE_002823,电气设备
2017-02-24,SZE_002851,电气设备
2016-09-13,SZE_300001,电气设备
2016-09-27,SZE_300011,电气设备
2014-01-01,SZE_300018,电气设备
2014-01-01,SZE_300029,电气设备
2014-01-01,SZE_300040,电气设备
2015-12-14,SZE_300048,电气设备
2016-01-21,SZE_300062,电气设备
2016-09-13,SZE_300068,电气设备
2016-09-28,SZE_300069,电气设备
2014-01-01,SZE_300105,电气设备
2014-01-01,SZE_300111,电气设备
2014-01-01,SZE_300118,电气设备
2014-01-01,SZE_300120,电气设备
2016-06-15,SZE_300124,电气设备
2015-10-31,SZE_300129,电气设备
2015-11-02,SZE_300140,电气设备
2014-01-01,SZE_300141,电气设备
2016-05-10,SZE_300153,电气设备
2014-01-01,SZE_300208,电气设备
2015-10-16,SZE_300215,电气设备
2016-12-29,SZE_300222,电气设备
2016-12-05,SZE_300265,电气设备
2016-06-15,SZE_300274,电气设备
2014-01-01,SZE_300283,电气设备
2016-09-13,SZE_300286,电气设备
2015-10-31,SZE_300308,电气设备
2015-10-26,SZE_300316,电气设备
2014-01-01,SZE_300341,电气设备
2015-10-31,SZE_300356,电气设备
2016-09-13,SZE_300360,电气设备
2017-01-23,SZE_300370,电气设备
2015-10-26,SZE_300376,电气设备
2015-10-26,SZE_300393,电气设备
2016-02-19,SZE_300407,电气设备
2015-05-06,SZE_300414,电气设备
2015-02-15,SZE_300423,电气设备
2015-11-02,SZE_300427,电气设备
2015-04-13,SZE_300444,电气设备
2015-04-13,SZE_300447,电气设备
2015-05-25,SZE_300466,电气设备
2015-06-15,SZE_300477,电气设备
2016-08-25,SZE_300484,电气设备
2016-09-13,SZE_300490,电气设备
2016-01-05,SZE_300491,电气设备
2016-04-24,SZE_300510,电气设备
2016-12-01,SZE_300569,电气设备
2016-12-25,SZE_300593,电气设备
2017-01-14,SZE_300600,电气设备
2017-02-14,SZE_300617,电气设备
2017-03-10,SZE_300626,电气设备
2016-06-15,SZE_600089,电气设备
2014-01-01,SZE_600110,电气设备
2015-08-04,SZE_600112,电气设备
2016-09-13,SZE_600151,电气设备
2014-01-01,SZE_600192,电气设备
2014-01-01,SZE_600202,电气设备
2016-09-13,SZE_600268,电气设备
2014-01-01,SZE_600290,电气设备
2016-09-13,SZE_600312,电气设备
2016-08-23,SZE_600349,电气设备
2014-01-01,SZE_600353,电气设备
2014-01-01,SZE_600379,电气设备
2015-10-26,SZE_600401,电气设备
2014-01-01,SZE_600405,电气设备
2016-09-13,SZE_600406,电气设备
2016-12-16,SZE_600416,电气设备
2014-01-01,SZE_600468,电气设备
2014-01-01,SZE_600475,电气设备
2016-09-13,SZE_600517,电气设备
2016-02-19,SZE_600525,电气设备
2015-10-26,SZE_600537,电气设备
2014-01-01,SZE_600550,电气设备
2014-01-01,SZE_600580,电气设备
2015-10-31,SZE_600590,电气设备
2014-01-01,SZE_600847,电气设备
2016-08-25,SZE_600869,电气设备
2014-01-01,SZE_600875,电气设备
2015-10-26,SZE_600885,电气设备
2014-01-01,SZE_600973,电气设备
2016-06-13,SZE_601012,电气设备
2014-01-01,SZE_601126,电气设备
2016-09-13,SZE_601179,电气设备
2014-01-01,SZE_601218,电气设备
2016-06-13,SZE_601222,电气设备
2014-01-01,SZE_601558,电气设备
2015-11-03,SZE_601567,电气设备
2014-01-01,SZE_601616,电气设备
2015-08-04,SZE_601700,电气设备
2016-09-13,SZE_601727,电气设备
2016-06-15,SZE_601877,电气设备
2016-09-13,SZE_601908,电气设备
2016-02-19,SZE_603015,电气设备
2016-07-07,SZE_603016,电气设备
2016-12-29,SZE_603025,电气设备
2016-07-06,SZE_603100,电气设备
2016-12-11,SZE_603218,电气设备
2014-01-01,SZE_603333,电气设备
2016-12-11,SZE_603416,电气设备
2016-12-11,SZE_603577,电气设备
2014-09-26,SZE_603606,电气设备
2015-02-15,SZE_603618,电气设备
2016-12-25,SZE_603628,电气设备
2014-09-04,SZE_603806,电气设备
2016-11-06,SZE_603819,电气设备
2016-10-17,SZE_603859,电气设备
2016-03-23,SZE_603861,电气设备
2014-10-24,SZE_603988,电气设备
2011-10-10,SZE_000020,电子
2016-10-19,SZE_000045,电子
2016-11-01,SZE_000049,电子
2016-11-01,SZE_000050,电子
2008-06-02,SZE_000413,电子
2016-01-08,SZE_000532,电子
2016-11-01,SZE_000536,电子
2016-11-01,SZE_000541,电子
2016-11-01,SZE_000636,电子
2016-11-01,SZE_000670,电子
2016-11-01,SZE_000701,电子
2015-10-31,SZE_000725,电子
2016-11-01,SZE_000727,电子
2016-06-13,SZE_000733,电子
2016-11-01,SZE_000823,电子
2015-11-03,SZE_000988,电子
2016-08-23,SZE_000991,电子
2016-11-01,SZE_002005,电子
2016-05-23,SZE_002008,电子
2016-09-13,SZE_002025,电子
2016-11-01,SZE_002036,电子
2015-10-16,SZE_002045,电子
2016-11-01,SZE_002049,电子
2016-10-19,SZE_002055,电子
2016-08-25,SZE_002056,电子
2015-10-31,SZE_002076,电子
2016-11-01,SZE_002079,电子
2016-11-01,SZE_002106,电子
2016-11-01,SZE_002119,电子
2016-02-27,SZE_002129,电子
2016-11-01,SZE_002134,电子
2016-11-01,SZE_002137,电子
2016-10-19,SZE_002138,电子
2016-02-19,SZE_002139,电子
2016-11-01,SZE_002141,电子
2016-11-02,SZE_002156,电子
2016-02-04,SZE_002161,电子
2016-02-19,SZE_002179,电子
2016-11-01,SZE_002180,电子
2016-11-01,SZE_002185,电子
2016-11-01,SZE_002188,电子
2016-11-01,SZE_002189,电子
2016-11-01,SZE_002199,电子
2016-09-13,SZE_002214,电子
2016-10-19,SZE_002217,电子
2016-11-01,SZE_002222,电子
2016-11-01,SZE_002241,电子
2008-06-25,SZE_002257,电子
2017-01-23,SZE_002273,电子
2016-02-19,SZE_002288,电子
2015-10-31,SZE_002289,电子
2016-11-01,SZE_002351,电子
2011-10-10,SZE_002369,电子
2016-06-06,SZE_002371,电子
2016-12-05,SZE_002384,电子
2016-02-19,SZE_002388,电子
2016-08-15,SZE_002389,电子
2016-11-01,SZE_002402,电子
2010-05-28,SZE_002414,电子
2016-06-27,SZE_002436,电子
2016-11-01,SZE_002449,电子
2016-11-01,SZE_002456,电子
2016-11-01,SZE_002463,电子
2015-10-31,SZE_002475,电子
2016-11-01,SZE_002484,电子
2015-10-16,SZE_002547,电子
2016-11-01,SZE_002579,电子
2016-08-15,SZE_002587,电子
2011-10-10,SZE_002618,电子
2016-10-19,SZE_002635,电子
2016-11-01,SZE_002636,电子
2016-07-04,SZE_002638,电子
2016-10-19,SZE_002654,电子
2016-11-01,SZE_002655,电子
2016-11-01,SZE_002660,电子
2016-11-01,SZE_002724,电子
2016-11-01,SZE_002729,电子
2016-11-01,SZE_002745,电子
2015-12-24,SZE_002782,电子
2016-08-04,SZE_002808,电子
2016-10-12,SZE_002815,电子
2017-01-05,SZE_002841,电子
2017-01-14,SZE_002845,电子
2017-02-14,SZE_002850,电子
2017-03-01,SZE_002855,电子
2015-10-28,SZE_300014,电子
2014-07-01,SZE_300032,电子
2016-11-01,SZE_300046,电子
2016-09-13,SZE_300053,电子
2010-03-10,SZE_300060,电子
2016-11-01,SZE_300076,电子
2016-06-06,SZE_300077,电子
2011-10-10,SZE_300078,电子
2016-11-01,SZE_300083,电子
2016-10-19,SZE_300088,电子
2016-11-01,SZE_300102,电子
2016-11-01,SZE_300115,电子
2017-02-23,SZE_300128,电子
2016-11-01,SZE_300131,电子
2015-11-03,SZE_300136,电子
2016-11-01,SZE_300139,电子
2016-02-19,SZE_300162,电子
2015-11-03,SZE_300183,电子
2016-11-01,SZE_300184,电子
2016-09-13,SZE_300207,电子
2016-11-01,SZE_300219,电子
2016-11-01,SZE_300220,电子
2016-06-06,SZE_300223,电子
2016-11-01,SZE_300227,电子
2015-10-31,SZE_300232,电子
2015-10-31,SZE_300241,电子
2016-11-01,SZE_300256,电子
2016-12-05,SZE_300269,电子
2016-11-01,SZE_300279,电子
2016-10-26,SZE_300282,电子
2015-08-14,SZE_300296,电子
2016-10-19,SZE_300301,电子
2015-10-16,SZE_300303,电子
2016-11-01,SZE_300317,电子
2016-11-01,SZE_300319,电子
2016-11-01,SZE_300322,电子
2016-11-01,SZE_300323,电子
2016-11-01,SZE_300327,电子
2015-10-31,SZE_300328,电子
2016-11-01,SZE_300331,电子
2016-11-01,SZE_300340,电子
2016-08-11,SZE_300346,电子
2016-11-01,SZE_300373,电子
2014-07-31,SZE_300389,电子
2016-11-01,SZE_300390,电子
2017-01-12,SZE_300394,电子
2016-11-01,SZE_300408,电子
2016-09-30,SZE_300410,电子
2016-10-19,SZE_300433,电子
2016-11-01,SZE_300438,电子
2016-11-01,SZE_300446,电子
2015-10-31,SZE_300458,电子
2016-11-01,SZE_300460,电子
2016-11-01,SZE_300476,电子
2015-12-23,SZE_300493,电子
2016-03-04,SZE_300502,电子
2016-05-25,SZE_300516,电子
2016-09-07,SZE_300543,电子
2016-12-14,SZE_300545,电子
2017-02-23,SZE_300566,电子
2016-12-11,SZE_300582,电子
2017-01-14,SZE_300602,电子
2017-02-08,SZE_300613,电子
2017-02-24,SZE_300623,电子
2017-03-01,SZE_300625,电子
2016-11-01,SZE_600071,电子
2016-10-19,SZE_600074,电子
2016-11-01,SZE_600171,电子
2016-11-01,SZE_600183,电子
2016-11-01,SZE_600203,电子
2011-10-10,SZE_600237,电子
2015-10-31,SZE_600261,电子
2016-11-01,SZE_600288,电子
2016-11-01,SZE_600360,电子
2016-11-01,SZE_600363,电子
2016-11-01,SZE_600460,电子
2016-11-01,SZE_600563,电子
2015-10-31,SZE_600584,电子
2016-11-01,SZE_600651,电子
2016-10-19,SZE_600666,电子
2016-11-01,SZE_600667,电子
2015-10-31,SZE_600703,电子
2016-11-01,SZE_600707,电子
2016-11-01,SZE_600800,电子
2016-11-01,SZE_601231,电子
2016-11-01,SZE_603005,电子
2016-10-12,SZE_603160,电子
2017-02-19,SZE_603186,电子
2016-12-19,SZE_603228,电子
2016-11-01,SZE_603328,电子
2016-08-04,SZE_603515,电子
2016-11-06,SZE_603633,电子
2015-10-31,SZE_603678,电子
2016-10-12,SZE_603738,电子
2015-12-23,SZE_603936,电子
2016-08-04,SZE_603986,电子
2016-11-01,SZE_603989,电子
2016-09-27,SZE_000002,房地产
2015-10-01,SZE_000005,房地产
2015-10-01,SZE_000011,房地产
2015-10-01,SZE_000014,房地产
2015-10-01,SZE_000029,房地产
2015-10-01,SZE_000031,房地产
2015-10-01,SZE_000036,房地产
2015-10-01,SZE_000040,房地产
2015-10-01,SZE_000042,房地产
2015-10-01,SZE_000043,房地产
2015-10-01,SZE_000046,房地产
2014-07-01,SZE_000056,房地产
2016-10-20,SZE_000069,房地产
2015-10-01,SZE_000090,房地产
2015-10-01,SZE_000402,房地产
2016-02-19,SZE_000502,房地产
2016-11-19,SZE_000505,房地产
2015-07-29,SZE_000506,房地产
2015-10-01,SZE_000514,房地产
2015-10-01,SZE_000517,房地产
2016-08-15,SZE_000526,房地产
2016-06-03,SZE_000534,房地产
2015-10-01,SZE_000537,房地产
2016-09-27,SZE_000540,房地产
2015-06-25,SZE_000558,房地产
2015-10-01,SZE_000567,房地产
2015-10-01,SZE_000573,房地产
2015-10-01,SZE_000608,房地产
2015-10-01,SZE_000609,房地产
2008-06-02,SZE_000615,房地产
2015-10-01,SZE_000616,房地产
2016-10-20,SZE_000620,房地产
2015-10-01,SZE_000631,房地产
2016-02-19,SZE_000638,房地产
2016-09-27,SZE_000656,房地产
2015-10-01,SZE_000667,房地产
2015-10-01,SZE_000668,房地产
2017-02-03,SZE_000671,房地产
2015-10-01,SZE_000691,房地产
2016-09-27,SZE_000718,房地产
2015-10-01,SZE_000732,房地产
2015-10-01,SZE_000736,房地产
2015-10-01,SZE_000797,房地产
2015-10-01,SZE_000803,房地产
2016-09-27,SZE_000809,房地产
2015-10-01,SZE_000838,房地产
2012-07-02,SZE_000863,房地产
2015-10-01,SZE_000897,房地产
2015-10-01,SZE_000909,房地产
2016-09-27,SZE_000918,房地产
2016-09-27,SZE_000926,房地产
2015-10-01,SZE_000931,房地产
2016-09-12,SZE_000961,房地产
2016-07-12,SZE_000965,房地产
2015-10-01,SZE_000979,房地产
2016-06-27,SZE_000981,房地产
2016-12-07,SZE_001979,房地产
2015-10-01,SZE_002016,房地产
2016-05-30,SZE_002077,房地产
2015-10-01,SZE_002133,房地产
2016-09-27,SZE_002146,房地产
2015-10-01,SZE_002208,房地产
2016-09-27,SZE_002244,房地产
2015-10-01,SZE_002285,房地产
2016-09-27,SZE_002305,房地产
2015-10-01,SZE_600007,房地产
2015-10-01,SZE_600048,房地产
2015-10-01,SZE_600052,房地产
2016-09-27,SZE_600064,房地产
2015-10-01,SZE_600067,房地产
2016-07-08,SZE_600077,房地产
2015-10-01,SZE_600094,房地产
2014-07-01,SZE_600095,房地产
2015-10-01,SZE_600159,房地产
2015-10-01,SZE_600162,房地产
2015-10-01,SZE_600173,房地产
2015-10-01,SZE_600185,房地产
2016-07-11,SZE_600208,房地产
2015-10-01,SZE_600215,房地产
2015-10-01,SZE_600223,房地产
2015-10-01,SZE_600225,房地产
2016-09-27,SZE_600239,房地产
2016-02-19,SZE_600240,房地产
2015-10-01,SZE_600246,房地产
2015-10-01,SZE_600266,房地产
2016-11-19,SZE_600322,房地产
2015-10-01,SZE_600325,房地产
2016-09-27,SZE_600340,房地产
2015-10-01,SZE_600376,房地产
2016-09-27,SZE_600383,房地产
2015-10-01,SZE_600393,房地产
2015-10-01,SZE_600463,房地产
2016-07-11,SZE_600466,房地产
2015-10-01,SZE_600503,房地产
2015-10-01,SZE_600533,房地产
2016-08-04,SZE_600555,房地产
2016-09-12,SZE_600565,房地产
2014-07-01,SZE_600568,房地产
2013-07-01,SZE_600604,房地产
2016-09-27,SZE_600606,房地产
2016-08-04,SZE_600621,房地产
2014-07-01,SZE_600622,房地产
2015-10-01,SZE_600638,房地产
2015-10-01,SZE_600639,房地产
2015-10-01,SZE_600641,房地产
2015-10-16,SZE_600647,房地产
2016-09-27,SZE_600648,房地产
2015-10-01,SZE_600649,房地产
2016-09-27,SZE_600657,房地产
2015-10-01,SZE_600658,房地产
2016-09-27,SZE_600663,房地产
2015-10-01,SZE_600665,房地产
2015-10-01,SZE_600675,房地产
2015-10-01,SZE_600683,房地产
2015-10-01,SZE_600684,房地产
2015-10-01,SZE_600696,房地产
2016-11-17,SZE_600708,房地产
2015-10-01,SZE_600716,房地产
2013-07-01,SZE_600724,房地产
2015-10-01,SZE_600732,房地产
2015-01-18,SZE_600733,房地产
2015-10-01,SZE_600734,房地产
2015-10-01,SZE_600736,房地产
2015-10-01,SZE_600743,房地产
2015-10-01,SZE_600745,房地产
2015-10-01,SZE_600748,房地产
2015-10-01,SZE_600773,房地产
2016-12-05,SZE_600777,房地产
2015-10-01,SZE_600791,房地产
2015-10-01,SZE_600807,房地产
2016-09-27,SZE_600823,房地产
2014-01-01,SZE_600848,房地产
2015-10-01,SZE_600890,房地产
2016-09-27,SZE_600895,房地产
2015-12-24,SZE_601155,房地产
2015-10-01,SZE_601588,房地产
2015-10-16,SZE_000158,纺织服装
2015-07-01,SZE_000611,纺织服装
2008-06-02,SZE_000726,纺织服装
2008-06-02,SZE_000779,纺织服装
2008-06-02,SZE_000850,纺织服装
2011-10-10,SZE_000955,纺织服装
2016-07-05,SZE_000982,纺织服装
2011-10-10,SZE_002003,纺织服装
2011-10-10,SZE_002029,纺织服装
2016-08-10,SZE_002034,纺织服装
2016-08-10,SZE_002042,纺织服装
2016-01-18,SZE_002070,纺织服装
2008-06-02,SZE_002072,纺织服装
2008-06-02,SZE_002083,纺织服装
2008-06-02,SZE_002087,纺织服装
2015-06-25,SZE_002098,纺织服装
2015-11-02,SZE_002144,纺织服装
2011-10-10,SZE_002154,纺织服装
2016-03-25,SZE_002193,纺织服装
2015-11-02,SZE_002269,纺织服装
2011-10-10,SZE_002291,纺织服装
2011-10-10,SZE_002293,纺织服装
2011-10-10,SZE_002327,纺织服装
2016-08-22,SZE_002394,纺织服装
2016-01-25,SZE_002397,纺织服装
2010-05-10,SZE_002404,纺织服装
2016-09-13,SZE_002425,纺织服装
2011-10-10,SZE_002485,纺织服装
2015-11-02,SZE_002486,纺织服装
2016-01-01,SZE_002494,纺织服装
2016-08-16,SZE_002503,纺织服装
2016-09-13,SZE_002516,纺织服装
2011-10-10,SZE_002563,纺织服装
2011-10-10,SZE_002569,纺织服装
2015-12-16,SZE_002612,纺织服装
2011-11-25,SZE_002634,纺织服装
2016-08-10,SZE_002640,纺织服装
2016-01-04,SZE_002656,纺织服装
2012-07-02,SZE_002674,纺织服装
2016-11-01,SZE_002687,纺织服装
2016-08-10,SZE_002699,纺织服装
2014-01-22,SZE_002720,纺织服装
2015-06-15,SZE_002761,纺织服装
2015-06-15,SZE_002762,纺织服装
2015-06-15,SZE_002763,纺织服装
2015-06-18,SZE_002776,纺织服装
2015-11-26,SZE_002780,纺织服装
2017-01-05,SZE_002832,纺织服装
2016-01-01,SZE_300005,纺织服装
2016-07-18,SZE_300526,纺织服装
2017-01-20,SZE_300577,纺织服装
2016-12-25,SZE_300591,纺织服装
2011-10-10,SZE_600070,纺织服装
2011-10-10,SZE_600107,纺织服装
2011-10-10,SZE_600137,纺织服装
2008-06-02,SZE_600152,纺织服装
2008-06-02,SZE_600156,纺织服装
2011-10-10,SZE_600177,纺织服装
2008-06-02,SZE_600220,纺织服装
2008-06-02,SZE_600232,纺织服装
2008-06-02,SZE_600370,纺织服装
2011-10-10,SZE_600398,纺织服装
2011-10-10,SZE_600400,纺织服装
2015-11-02,SZE_600448,纺织服装
2008-06-02,SZE_600493,纺织服装
2008-06-02,SZE_600510,纺织服装
2016-07-26,SZE_600626,纺织服装
2011-10-10,SZE_600630,纺织服装
2008-06-02,SZE_600689,纺织服装
2016-02-19,SZE_600987,纺织服装
2016-08-10,SZE_601339,纺织服装
2011-10-10,SZE_601566,纺织服装
2015-08-31,SZE_601599,纺织服装
2016-01-01,SZE_601718,纺织服装
2012-04-18,SZE_603001,纺织服装
2015-06-18,SZE_603116,纺织服装
2017-02-09,SZE_603238,纺织服装
2014-11-25,SZE_603518,纺织服装
2016-01-01,SZE_603555,纺织服装
2016-08-10,SZE_603558,纺织服装
2016-02-22,SZE_603608,纺织服装
2017-02-24,SZE_603665,纺织服装
2016-09-12,SZE_603808,纺织服装
2017-02-09,SZE_603839,纺织服装
2016-12-25,SZE_603877,纺织服装
2016-08-10,SZE_603889,纺织服装
2017-02-24,SZE_603908,纺织服装
2016-06-24,SZE_603958,纺织服装
2015-01-19,SZE_000166,非银金融
2015-01-18,SZE_000415,非银金融
2014-01-01,SZE_000416,非银金融
2016-01-04,SZE_000563,非银金融
2016-01-10,SZE_000666,非银金融
2014-01-01,SZE_000686,非银金融
2015-01-18,SZE_000712,非银金融
2016-07-07,SZE_000728,非银金融
2015-01-18,SZE_000750,非银金融
2016-07-07,SZE_000776,非银金融
2016-07-07,SZE_000783,非银金融
2015-01-18,SZE_002500,非银金融
2015-01-18,SZE_002673,非银金融
2016-07-07,SZE_002736,非银金融
2016-04-26,SZE_002797,非银金融
2015-10-26,SZE_300023,非银金融
2016-07-07,SZE_600030,非银金融
2008-06-02,SZE_600061,非银金融
